index,dataset,rtype,rnumber,Test_AVERAGE_PRECISION,Test_FIXED_RANGE_PR_AUC,Test_PR_AUC,Test_RANGE_PR_AUC,Test_ROC_AUC,Test_THRESHOLD,Train_AVERAGE_PRECISION,Train_FIXED_RANGE_PR_AUC,Train_PR_AUC,Train_RANGE_PR_AUC,Train_ROC_AUC
782,2-wave-synced-all-no-anomaly,autoencoder,0,0.0023144153079058087,0.0016853932584269663,0.0017354736160605016,0.0016853932584269663,0.1367435640254096,,-0.0,,0.5,,
5035,2-wave-synced-all-no-anomaly,cblof,0,0.00844408235925394,0.017298105276366146,0.006174036552674974,0.016739067695589437,0.7746573052490805,,-0.0,,0.5,,
2692,2-wave-synced-all-no-anomaly,cof,0,0.0021025497328240233,0.00715004600874166,0.0015690538540708667,0.0059667586841499875,0.06118355065195584,,-0.0,,0.5,,
4785,2-wave-synced-all-no-anomaly,copod,0,0.0027333931467479287,0.00898286850972273,0.002037650966882734,0.010612795842974872,0.2805081912403878,,-0.0,,0.5,,
4444,2-wave-synced-all-no-anomaly,dae,0,0.004908281223590511,0.0625,0.003679645568014317,0.0625,0.5947843530591775,,-0.0,,0.5,,
3420,2-wave-synced-all-no-anomaly,damp,0,0.002638041949790188,0.07201611549437636,0.0019774943350765505,0.0726036595601813,0.24373119358074222,,-0.0,,0.5,,
3251,2-wave-synced-all-no-anomaly,deepant,0,0.6388888888888888,0.26136363636363635,0.5138888888888888,0.2727272727272727,0.9989969909729187,,-0.0,,0.5,,
2402,2-wave-synced-all-no-anomaly,deepnap,0,0.0021250312722264127,0.0012396694214876034,0.0015938664655857672,0.0012396694214876034,0.05884319625543295,,-0.0,,0.5,,
1087,2-wave-synced-all-no-anomaly,encdec_ad,0,0.0021526747308239077,0.010362844702467344,0.0016126267951568874,0.01072568940493469,0.07422266800401205,,-0.0,,0.5,,
620,2-wave-synced-all-no-anomaly,fast_mcd,0,0.0028677958812291064,0.03004061812324524,0.002145589579515366,0.024366950532204768,0.30825810765630224,,-0.0,,0.5,,
3016,2-wave-synced-all-no-anomaly,gdn,0,0.025925925925925925,0.030148709315375985,0.019278634771592522,0.030148709315375985,0.9256619144602851,,-0.0,,0.5,,
1797,2-wave-synced-all-no-anomaly,hbos,0,0.016493937546569123,0.028864734299516907,0.009683750382479966,0.01606280193236715,0.824974924774323,,-0.0,,0.5,,
426,2-wave-synced-all-no-anomaly,health_esn,0,,0.5015,,0.5015,,,,0.5,,0.5,
1324,2-wave-synced-all-no-anomaly,hif,0,0.002319679600614728,0.007015769270671231,0.0017229387705313538,0.004772279282083203,0.1574724172517553,,-0.0,,0.5,,
109,2-wave-synced-all-no-anomaly,hybrid_knn,0,0.042517006802721094,0.02727272727272727,0.027431342907533386,0.02727272727272727,0.9485122032764961,,-0.0,,0.5,,
3858,2-wave-synced-all-no-anomaly,if_lof,0,0.0037829913388567455,0.003763092752244296,0.002549359436316289,0.004657113322939983,0.4272818455366098,,-0.0,,0.5,,
2763,2-wave-synced-all-no-anomaly,iforest,0,0.003926443370548845,0.0053912432204044685,0.002918655140707878,0.0032067288650513615,0.5025075225677031,,-0.0,,0.5,,
4828,2-wave-synced-all-no-anomaly,kmeans,0,0.004513759742243573,0.0015787316290870792,0.003368268482510398,0.0020413918296027303,0.5643597459043799,,-0.0,,0.5,,
1216,2-wave-synced-all-no-anomaly,knn,0,0.004203481435142617,0.003174705600857416,0.003056384672482428,0.0027370555389377477,0.5392845202273486,,-0.0,,0.5,,
3232,2-wave-synced-all-no-anomaly,laser_dbn,0,,0.5015,,0.5015,,,,0.5,,0.5,
4280,2-wave-synced-all-no-anomaly,lstm-vae,0,0.011824988142002451,,0.4199437434241387,,,,-0.0,,0.5,,
2490,2-wave-synced-all-no-anomaly,lstm_ad,0,0.03568208892752504,0.1392857142857143,0.026719300710439813,0.1392857142857143,0.946840521564694,,-0.0,,0.5,,
1474,2-wave-synced-all-no-anomaly,mscred,0,0.003,0.0015,0.0015,0.0015,0.45486459378134403,,-0.0,,0.5,,
2144,2-wave-synced-all-no-anomaly,mstamp,0,0.0023006638946415107,0.006924303064954866,0.0017222289839340025,0.0072686556820347565,0.13574055499832832,,-0.0,,0.5,,
2930,2-wave-synced-all-no-anomaly,multi_hmm,0,0.0031545741324921135,0.001541623843782117,0.0015772870662460567,0.001541623843782117,0.05015045135406221,,-0.0,,0.5,,
4037,2-wave-synced-all-no-anomaly,normalizing_flows,0,0.0030496912436850663,0.06706349206349206,0.0022862862380081932,0.06706349206349206,0.346038114343029,,-0.0,,0.5,,
1628,2-wave-synced-all-no-anomaly,omnianomaly,0,0.04112182630489267,0.006306018214672804,0.030325222916756097,0.008066581562161446,0.9502598366740906,,-0.0,,0.5,,
410,2-wave-synced-all-no-anomaly,pca,0,0.002546237868132656,,0.0016394193003666942,,0.09027081243731197,,,,,,
3571,2-wave-synced-all-no-anomaly,pcc,0,0.0026133623992951214,0.045238095238095244,0.001958867231660139,0.05714285714285715,0.2367101303911735,,-0.0,,0.5,,
2004,2-wave-synced-all-no-anomaly,random_black_forest,0,,0.5015,,0.5015,,,,0.5,,0.5,
882,2-wave-synced-all-no-anomaly,robust_pca,0,0.002010076735881199,0.0020215633423180594,0.0015072162678706684,0.0020215633423180594,0.005683717820127035,,-0.0,,0.5,,
254,2-wave-synced-all-no-anomaly,subsequence_knn,0,0.013031133600393563,0.007575757575757576,0.009776560192769122,0.007575757575757576,0.8488799732530926,,-0.0,,0.5,,
4128,2-wave-synced-all-no-anomaly,tanogan,0,0.003,0.0015,0.0015,0.0015,0.4844533600802407,,-0.0,,0.5,,
4545,2-wave-synced-all-no-anomaly,telemanom,0,0.0027502181586284537,0.04719539283218528,0.0020594296507735806,0.03189078566437057,0.27683049147442323,,-0.0,,0.5,,
1968,2-wave-synced-all-no-anomaly,torsk,0,,0.5015,,0.5015,,,,0.5,,0.5,
3746,2-wave-synced-all-no-anomaly,usad,0,0.007625150726497086,0.008841419592499733,0.007118927805019938,0.007449719589203596,0.00029334115576415014,0.00807338859885931,-0.0,,0.5,,
